ipAddress,isPublic,ipVersion,isWhitelisted,abuseConfidenceScore,countryCode,usageType,isp,domain,hostnames,totalReports,numDistinctUsers,lastReportedAt
ipAddress,isPublic,ipVersion,isWhitelisted,abuseConfidenceScore,countryCode,usageType,isp,domain,hostnames,totalReports,numDistinctUsers,lastReportedAt,isTor
8.8.8.8,True,4,True,0,US,Data Center/Web Hosting/Transit,Google LLC,google.com,['dns.google'],15,8,2024-09-28T08:10:01+00:00,False
1.1.1.1,True,4,True,0,AU,Content Delivery Network,APNIC and CloudFlare DNS Resolver Project,cloudflare.com,['one.one.one.one'],117,58,2024-09-29T02:26:17+00:00,False
208.67.222.222,True,4,True,0,US,Content Delivery Network,Cisco OpenDNS LLC,opendns.com,"['resolver1.opendns.com', 'dns.umbrella.com', 'dns.opendns.com', 'dns.sse.cisco.com']",6,4,2024-09-22T20:39:03+00:00,False
208.67.220.220,True,4,True,0,US,Content Delivery Network,Cisco OpenDNS LLC,opendns.com,"['dns.umbrella.com', 'dns.opendns.com', 'resolver2.opendns.com', 'dns.sse.cisco.com']",3,2,2024-09-22T20:38:55+00:00,False
9.9.9.9,True,4,True,0,CH,Data Center/Web Hosting/Transit,Quad9,quad9.net,['dns9.quad9.net'],22,5,2024-09-14T05:27:03+00:00,False
198.51.100.1,True,4,True,0,,Reserved,Test Net,,[],1,1,2024-07-04T07:25:19+00:00,False
203.0.113.1,True,4,,0,,Reserved,Test Net,,[],0,0,,False
185.228.168.9,True,4,,0,US,Data Center/Web Hosting/Transit,Daniel Cid,noc.org,"['security-filter-dns.cleanbrowsing.org', 'customfilter9-dns.cleanbrowsing.org']",0,0,,False
185.228.169.9,True,4,False,7,BE,Data Center/Web Hosting/Transit,DNS Anycast Cleanbrowsing Secondary,cleanbrowsing.org,['security-filter-dns2.cleanbrowsing.org'],2,2,2024-08-01T01:34:53+00:00,False
77.88.8.1,True,4,,0,RU,Search Engine Spider,Yandex LLC,yandex.net,['secondary.dns.yandex.ru'],0,0,,False
91.239.100.100,True,4,False,0,DK,Data Center/Web Hosting/Transit,Thomas Steen Rasmussen,tyk.nu,['anycast.censurfridns.dk'],0,0,2022-09-24T11:03:19+00:00,False
156.154.70.1,True,4,,0,US,Data Center/Web Hosting/Transit,Vercara LLC,vercara.com,['rdns1.ultradns.net'],0,0,,False
156.154.71.1,True,4,,0,US,Data Center/Web Hosting/Transit,Vercara LLC,vercara.com,['rdns2.ultradns.net'],0,0,,False
80.80.80.80,True,4,False,0,NL,Data Center/Web Hosting/Transit,OpenTLD BV,dot.tk,[],0,0,2024-03-10T14:15:18+00:00,False
37.235.1.174,True,4,False,0,AT,Data Center/Web Hosting/Transit,ANEXIA Internetdienstleistungs GmbH,anexia.at,['resolver1.freedns.zone.powered.by.virtexxa.com'],0,0,2022-09-24T10:58:48+00:00,False
37.235.1.177,True,4,False,0,AT,Data Center/Web Hosting/Transit,ANEXIA Internetdienstleistungs GmbH,anexia.at,['resolver2.freedns.zone.powered.by.virtexxa.com'],0,0,2022-09-24T10:59:52+00:00,False
64.6.64.6,True,4,False,0,US,Data Center/Web Hosting/Transit,Vercara LLC,vercara.com,['rec1pubns1.ultradns.net'],0,0,2023-11-26T08:31:24+00:00,False
64.6.65.6,True,4,,0,US,Data Center/Web Hosting/Transit,Vercara LLC,vercara.com,['rec1pubns2.ultradns.net'],0,0,,False
84.200.69.80,True,4,False,40,DE,Data Center/Web Hosting/Transit,firstcolo GmbH,first-colo.net,[],126,8,2024-09-28T09:34:55+00:00,False
84.200.70.40,True,4,False,31,DE,Data Center/Web Hosting/Transit,firstcolo GmbH,first-colo.net,[],106,7,2024-09-27T17:00:14+00:00,False
