IP Address,Country,ASN,AS Owner,Detected URLs,Detected Samples,Total Malicious Engines
8.8.8.8,US,15169,GOOGLE,100,11,0
1.1.1.1,AU,13335,CLOUDFLARENET,100,15,0
208.67.222.222,US,36692,CISCO-UMBRELLA,56,0,0
208.67.220.220,US,36692,CISCO-UMBRELLA,14,0,0
9.9.9.9,US,19281,QUAD9-AS-1,96,0,0
198.51.100.1,ZZ,54876,ROKABEAR LLC,18,0,0
203.0.113.1,ZZ,N/A,N/A,10,0,0
185.228.168.9,US,205157,Daniel Cid,0,0,0
185.228.169.9,US,205157,Daniel Cid,0,0,0
77.88.8.1,RU,13238,YANDEX LLC,4,0,0
91.239.100.100,DK,198794,Thomas Steen Rasmussen,5,0,0
156.154.70.1,US,397213,SECURITYSERVICES,1,0,0
156.154.71.1,US,397215,SECURITYSERVICES,1,0,0
80.80.80.80,NL,60679,Freedom Registry BV,13,0,0
37.235.1.174,AT,51453,ANEXIA Internetdienstleistungs GmbH,2,0,0
37.235.1.177,AT,51453,ANEXIA Internetdienstleistungs GmbH,3,0,0
64.6.64.6,US,19905,SECURITYSERVICES,1,0,0
64.6.65.6,US,397215,SECURITYSERVICES,0,0,0
84.200.69.80,DE,44066,firstcolo GmbH,5,0,0
84.200.70.40,DE,44066,firstcolo GmbH,0,0,0
